doi,url,title,journal,publisher,year,vol,issue,Include,Location Appropriate,# Coords,Coord Type,Coordinate Text,Comments,RE_Lat,RE_Long
10.1371/journal.pone.0119922,https://dx.doi.org/10.1371/journal.pone.0119922,Quantifying Patterns of Change in Marine Ecosystem Response to Multiple Pressures,PLoS ONE,PLoS,2015,10,3,1,Y,0,region,Northeast Shelf Large Marine Ecosystem (NES LME),,40.26934,-73.49683
10.1371/journal.pone.0053139,https://dx.doi.org/10.1371/journal.pone.0053139,The 50 Most Important Questions Relating to the Maintenance and Restoration of an Ecological Continuum in the European Alps,PLoS ONE,PLoS,2013,8,1,1,Y,0,sub-continent,"The European Alps span eight countries, from the Mediterranean shores of Southern France to Slovenia and link with adjacent mountain ranges such as the Carpathians, Balkans and Apennines.",,47.02853,9.66108
10.1371/journal.pone.0030463,https://dx.doi.org/10.1371/journal.pone.0030463,"Informatics Technology Mimics Ecology: Dense, Mutualistic Collaboration Networks Are Associated with Higher Publication Rates",PLoS ONE,PLoS,2012,7,1,1,N,0,,,,,
10.1371/journal.pone.0147058,https://dx.doi.org/10.1371/journal.pone.0147058,Human-Induced Landscape Changes Homogenize Atlantic Forest Bird Assemblages through Nested Species Loss,PLoS ONE,PLoS,2016,11,2,1,Y,2,Bounding Box,"state of Paraná, southern Brazil, which is located between latitudes 22°29’30”S and 26°42’59”S; and longitudes 48°02’24”W and 54°37’38”W",,-24.5,-51
10.1371/journal.pone.0111883,https://dx.doi.org/10.1371/journal.pone.0111883,Local and Regional Effects on Community Structure of Dung Beetles in a Mainland-Island Scenario,PLoS ONE,PLoS,2014,0,10,1,Y,4,Point,"On the island, the study areas were within the Lagoa do Peri Municipal Park (PER, 27¡43_30_S, 48¡32_18_W) and the Permanent Protection Area of Ratones (RAT, 27¡31_52_S, 48¡30_45_W). On the mainland, the areas sampled were within the Environmental Protection Area of Anhatomirim in Governador Celso Ramos city (ANH, 27¡25_1_S, 48¡34_25_W), and in Permanent Protection Area in Itapema city (ITA, 27¡05_13_S, 48¡35_54_W).Ê",,-27.725,-48.53833
10.1371/journal.pone.0102437,https://dx.doi.org/10.1371/journal.pone.0102437,Combining Aesthetic with Ecological Values for Landscape Sustainability,PLoS ONE,PLoS,2014,9,7,1,Y,1,Bounding Box,"The Houguanhu Region (113°41′–114°13′E, 30°15′–30°41′N) lies within the southwestern Wuhan city of Hubei Province in central China",,30.50445,114.06645
10.1371/journal.pone.0060756,https://dx.doi.org/10.1371/journal.pone.0060756,Impacts of Intensive Logging on the Trophic Organisation of Ant Communities in a Biodiversity Hotspot,PLoS ONE,PLoS,2013,8,4,1,Y,1,point,"(4¡ 58_N, 117¡ 48_E",,4.96667,117.8
10.1371/journal.pone.0049024,https://dx.doi.org/10.1371/journal.pone.0049024,"The Relationship between Species Richness and Evenness in Plant Communities along a Successional Gradient: A Study from Sub-Alpine Meadows of the Eastern Qinghai-Tibetan Plateau, China",PLoS ONE,PLoS,2012,0,11,1,Y,1,point,"34¡55_N, 102¡53_E;",,34.91667,102.88333
10.1371/journal.pone.0027785,https://dx.doi.org/10.1371/journal.pone.0027785,Forest Fragmentation and Selective Logging Have Inconsistent Effects on Multiple Animal-Mediated Ecosystem Processes in a Tropical Forest,PLoS ONE,PLoS,2011,6,11,1,Y,1,bounding Box,"Kakamega Forest in western Kenya (0¡07_Ð0¡27_ N, 34¡46_Ð34¡57_ E)",,0.45,34.76667
10.1371/journal.pone.0038970,https://dx.doi.org/10.1371/journal.pone.0038970,Uncovering Ecosystem Service Bundles through Social Preferences,PLoS ONE,PLoS,2012,7,6,1,Y,0,country,The research was conducted at eight sites in the Iberian Peninsula,,40.84959,-4.12061
10.1371/journal.pone.0021972,https://dx.doi.org/10.1371/journal.pone.0021972,"Effects of Total Resources, Resource Ratios, and Species Richness on Algal Productivity and Evenness at Both Metacommunity and Local Scales",PLoS ONE,PLoS,2011,6,7,1,Y,1,point,"latitude 50¡ 55_ 48_, longitude 6¡ 55_ 12_",,50.93,6.92
10.1371/journal.pone.0112436,https://dx.doi.org/10.1371/journal.pone.0112436,The Soil Biota Composition along a Progressive Succession of Secondary Vegetation in a Karst Area,PLoS ONE,PLoS,2014,9,11,1,Y,1,bounding Box,"This study was carried out at the Huanjiang Observation and Research Station for Karst Ecosystems (107°51′–108°43′E, 24°44′–25°33′N), Chinese Academy of Sciences (CAS), Guangxi Province, China",,25,108.25
10.1371/journal.pone.0154026,https://dx.doi.org/10.1371/journal.pone.0154026,Relationship of Productivity to Species Richness in the Xinjiang Temperate Grassland,PLoS ONE,PLoS,2016,11,4,1,Y,1,bounding Box,The study area ranges from 34¡25_N to 48¡10_N in latitude and from 73¡40_E to 96¡18_E in longitude,,40.15464,85.93189
10.1371/journal.pone.0150520,https://dx.doi.org/10.1371/journal.pone.0150520,Past Human Disturbance Effects upon Biodiversity are Greatest in the Canopy; A Case Study on Rainforest Butterflies,PLoS ONE,PLoS,2016,11,3,1,Y,1,point,71¡23Õ28ÓW 12¡47Õ21ÓS,,-12.78917,-71.39111
10.1371/journal.pone.0118580,https://dx.doi.org/10.1371/journal.pone.0118580,Natural Shorelines Promote the Stability of Fish Communities in an Urbanized Coastal System,PLoS ONE,PLoS,2015,10,6,1,Y,0,Point,"Mobile Bay, Alabama",,30.4548,-87.99119
10.1371/journal.pone.0123160,https://dx.doi.org/10.1371/journal.pone.0123160,Responses of Plant Community Composition and Biomass Production to Warming and Nitrogen Deposition in a Temperate Meadow Ecosystem,PLoS ONE,PLoS,2015,10,4,1,Y,1,point,"44¡45_N, 123¡45_E",,44.75,123.75
10.1371/journal.pone.0123030,https://dx.doi.org/10.1371/journal.pone.0123030,Scale-Dependence of Processes Structuring Dung Beetle Metacommunities Using Functional Diversity and Community Deconstruction Approaches,PLoS ONE,PLoS,2015,10,3,1,Y,4,point,"Ê27¼25Õ1ÓS, 48¼34Õ25ÓW), and the other in a Permanent Protection Area in the municipality of Itapema (ITA, 27¼05Õ13ÓS, 48¼35Õ54ÓW). On the island, one study areas lies within the Lagoa do Peri Municipal Park (PER, 27¡43Õ30ÓS, 48¡32Õ18ÓW) and the other in the Permanent Protection Area of Ratones (RAT, 27¡31Õ52ÓS, 48¡30Õ45ÓW",,-27.41694,-48.57361
10.1371/journal.pone.0085513,https://dx.doi.org/10.1371/journal.pone.0085513,Contributions of Understory and/or Overstory Vegetations to Soil Microbial PLFA and Nematode Diversities in Eucalyptus Monocultures,PLoS ONE,PLoS,2014,9,1,1,Y,1,point,"112¡50_E, 22¡34_N",,22.56667,112.83333
10.1371/journal.pone.0084568,https://dx.doi.org/10.1371/journal.pone.0084568,Loss of Rare Fish Species from Tropical Floodplain Food Webs Affects Community Structure and Ecosystem Multifunctionality in a Mesocosm Experiment,PLoS ONE,PLoS,2014,9,1,1,Y,0,region,"Upper Paraná River Floodplain Long Term Ecological Research (LTER) program’s field station located at the Upper Paraná River floodplain, Brazil.",,-22.91516,-53.65354
10.1371/journal.pone.0082792,https://dx.doi.org/10.1371/journal.pone.0082792,Relationships between Plant Diversity and the Abundance and α-Diversity of Predatory Ground Beetles (Coleoptera: Carabidae) in a Mature Asian Temperate Forest Ecosystem,PLoS ONE,PLoS,2013,8,12,1,Y,1,bounding Box,"Changbai Mountain (E 127¡43_ Ð128¡16_; N 41¡41_ Ð42¡51_) in Jilin Province, North-eastern China",,42.275,127.9916667
10.1371/journal.pone.0066650,https://dx.doi.org/10.1371/journal.pone.0066650,Complex Effects of Ecosystem Engineer Loss on Benthic Ecosystem Response to Detrital Macroalgae,PLoS ONE,PLoS,2013,8,6,1,Y,1,point,"51¡ 37_ 00__ N, 4¡ 01_ 00__ E",,51.61667,4.01667
10.1371/journal.pone.0058432,https://dx.doi.org/10.1371/journal.pone.0058432,"Effect of Degradation Intensity on Grassland Ecosystem Services in the Alpine Region of Qinghai-Tibetan Plateau, China",PLoS ONE,PLoS,2013,8,3,1,Y,0,region,"Dawu Village, Maqin Country of Guoluo Tibetan Autonomous Prefecture, Qinghai Province, China",,34.50019,100.24047
10.1371/journal.pone.0052821,https://dx.doi.org/10.1371/journal.pone.0052821,Testing the Link between Functional Diversity and Ecosystem Functioning in a Minnesota Grassland Experiment,PLoS ONE,PLoS,2012,7,12,1,Y,0,Point,"Cedar Creek Natural History area, a National Science Foundation, Long-Term Ecological Research site in Minnesota, USA (lat. 45° N, Long. 93° W)",,45,-93
10.1371/journal.pone.0053009,https://dx.doi.org/10.1371/journal.pone.0053009,Resilience in Plant-Herbivore Networks during Secondary Succession,PLoS ONE,PLoS,2012,7,12,1,Y,1,bounding Box,"Chamela-Cuixmala Biosphere Reserve (CCBR, 19¡22_Ð19¡39_N, 104¡56_Ð105¡10_W)",,19.65,104.93333
10.1371/journal.pone.0042354,https://dx.doi.org/10.1371/journal.pone.0042354,"Temporal-Spatial Variation and Controls of Soil Respiration in Different Primary Succession Stages on Glacier Forehead in Gongga Mountain, China",PLoS ONE,PLoS,2012,7,8,1,Y,1,bounding Box,"Gongga Mountain (29¡20_Ð30¡20_N, 101¡30_Ð102¡15_E",,30.33333,101.5
10.1371/journal.pone.0040679,https://dx.doi.org/10.1371/journal.pone.0040679,Low Functional β-Diversity Despite High Taxonomic β-Diversity among Tropical Estuarine Fish Communities,PLoS ONE,PLoS,2012,7,7,1,Y,1,bounding Box,a 150-km long transect (18¡37_16NÐ92¡42_28W to 18¡30_20NÐ91¡28_03W),,18.62111,-92.70778
10.1371/journal.pone.0036196,https://dx.doi.org/10.1371/journal.pone.0036196,Effects of Trophic Skewing of Species Richness on Ecosystem Functioning in a Diverse Marine Community,PLoS ONE,PLoS,2012,7,5,1,Y,0,Point," University of North Carolina at Chapel Hill’s Institute of Marine Sciences (IMS) in Morehead City, NC",,34.72371,-76.75217
10.1371/journal.pone.0030506,https://dx.doi.org/10.1371/journal.pone.0030506,Predicting Tropical Dry Forest Successional Attributes from Space: Is the Key Hidden in Image Texture?,PLoS ONE,PLoS,2012,7,2,1,Y,1,point,"16¡39.49_N, 95¡0.66_W",,16.65817,-95.011
10.1371/journal.pone.0024107,https://dx.doi.org/10.1371/journal.pone.0024107,Assessing Natural Resource Use by Forest-Reliant Communities in Madagascar Using Functional Diversity and Functional Redundancy Metrics,PLoS ONE,PLoS,2011,6,9,1,Y,1,bounding Box,Ranomafana National Park (RNP) is located between 47¡ 18_Ð47¡ 37_E and 21¡ 02_Ð21¡ 25 SÊ,,-21.26386,47.41932
10.1371/journal.pone.0020078,https://dx.doi.org/10.1371/journal.pone.0020078,Hierarchical Plant Responses and Diversity Loss after Nitrogen Addition: Testing Three Functionally-Based Hypotheses in the Inner Mongolia Grassland,PLoS ONE,PLoS,2011,6,5,1,Y,1,point,"E 116¡42_, N 43¡38_,",,43.63333,116.7
10.1371/journal.pone.0017476,https://dx.doi.org/10.1371/journal.pone.0017476,Functional Structure of Biological Communities Predicts Ecosystem Multifunctionality,PLoS ONE,PLoS,2011,6,3,1,Y,0,Point,German site of the BIODEPTH project,,49.91679,11.58337
10.1371/journal.pone.0013666,https://dx.doi.org/10.1371/journal.pone.0013666,Beyond the Fragmentation Threshold Hypothesis: Regime Shifts in Biodiversity Across Fragmented Landscapes,PLoS ONE,PLoS,2010,5,10,1,Y,0,region," Atlantic Plateau of São Paulo, Brazil",,-23.933,-47.5
10.1371/journal.pone.0013382,https://dx.doi.org/10.1371/journal.pone.0013382,Diversity Promotes Temporal Stability across Levels of Ecosystem Organization in Experimental Grasslands,PLoS ONE,PLoS,2010,5,10,1,Y,1,point,"50¡57_3.09_N, 11¡37_23.49_E",,50.95086,11.62319
10.1371/journal.pone.0146228,https://dx.doi.org/10.1371/journal.pone.0146228,Response of a Wild Edible Plant to Human Disturbance: Harvesting Can Enhance the Subsequent Yield of Bamboo Shoots,PLoS ONE,PLoS,2015,10,12,1,Y,1,point,"45¡03ÕN, 142¡07ÕE",,45.05,142.11667
10.1371/journal.pone.0138696,https://dx.doi.org/10.1371/journal.pone.0138696,Understanding the Spatio-Temporal Response of Coral Reef Fish Communities to Natural Disturbances: Insights from Beta-Diversity Decomposition,PLoS ONE,PLoS,2015,10,9,1,Y,0,region,coral communities of Moorea Island (French Polynesia),,-17.48352,-149.83937
10.1371/journal.pone.0106529,https://dx.doi.org/10.1371/journal.pone.0106529,Plant Diversity Impacts Decomposition and Herbivory via Changes in Aboveground Arthropods,PLoS ONE,PLoS,2014,9,9,1,Y,1,point,"50¡55_ N, 11¡35_ E",,50.91667,11.58333
10.1371/journal.pone.0104060,https://dx.doi.org/10.1371/journal.pone.0104060,A New Measure of Functional Evenness and Some of Its Properties,PLoS ONE,PLoS,2014,9,8,1,Y,0,point,Ticino near Locarno (southern Switzerland).,,46.36423,8.79557
10.1371/journal.pone.0083407,https://dx.doi.org/10.1371/journal.pone.0083407,Long-Term Functional Dynamics of an Aphidophagous Coccinellid Community Remain Unchanged despite Repeated Invasions,PLoS ONE,PLoS,2013,8,12,1,Y,1,point,"42¡24ÕN, 85¡24ÕW",,42.4,-85.4
10.1371/journal.pone.0066653,https://dx.doi.org/10.1371/journal.pone.0066653,Assessing the Response of Nematode Communities to Climate Change-Driven Warming: A Microcosm Experiment,PLoS ONE,PLoS,2013,8,6,1,Y,1,point,N: 31° 33.527; W: 114° 17.866,,31.5,-114.25
10.1371/journal.pone.0000295,https://dx.doi.org/10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,PLoS ONE,PLoS,2007,2,3,1,Y,0,region,Australia,,-32.79124,132.52153
10.1371/journal.pone.0000295,https://dx.doi.org/10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,PLoS ONE,PLoS,2007,2,3,1,Y,0,region,Sanfrancisco Bay,,37.69981,-122.31039
10.1371/journal.pone.0000295,https://dx.doi.org/10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,PLoS ONE,PLoS,2007,2,3,1,Y,0,region,Wadden Sea,,53.6507,6.95659
10.1371/journal.pone.0000295,https://dx.doi.org/10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,PLoS ONE,PLoS,2007,2,3,1,Y,0,region,Gulf of the Farallones National Marine Sanctuary,,37.84701,-122.98899
10.1371/journal.pone.0154613,https://dx.doi.org/10.1371/journal.pone.0154613,The Relationship between Habitat Loss and Fragmentation during Urbanization: An Empirical Evaluation from 16 World Cities,PLoS ONE,PLoS,2016,11,4,1,Y,0,region,Algiers,,36.7599,3.05796
10.1371/journal.pone.0154613,https://dx.doi.org/10.1371/journal.pone.0154613,The Relationship between Habitat Loss and Fragmentation during Urbanization: An Empirical Evaluation from 16 World Cities,PLoS ONE,PLoS,2016,11,4,1,Y,0,region,Beijing,,39.89852,116.38644
10.1371/journal.pone.0154613,https://dx.doi.org/10.1371/journal.pone.0154613,The Relationship between Habitat Loss and Fragmentation during Urbanization: An Empirical Evaluation from 16 World Cities,PLoS ONE,PLoS,2016,11,4,1,Y,0,region,Beunos Aires,,-34.61015,-58.44532
10.1371/journal.pone.0154613,https://dx.doi.org/10.1371/journal.pone.0154613,The Relationship between Habitat Loss and Fragmentation during Urbanization: An Empirical Evaluation from 16 World Cities,PLoS ONE,PLoS,2016,11,4,1,Y,0,region,Cairo,,30.04775,31.23477
10.1371/journal.pone.0154613,https://dx.doi.org/10.1371/journal.pone.0154613,The Relationship between Habitat Loss and Fragmentation during Urbanization: An Empirical Evaluation from 16 World Cities,PLoS ONE,PLoS,2016,11,4,1,Y,0,region,Guatemala City,,14.6302,-90.51145
10.1371/journal.pone.0154613,https://dx.doi.org/10.1371/journal.pone.0154613,The Relationship between Habitat Loss and Fragmentation during Urbanization: An Empirical Evaluation from 16 World Cities,PLoS ONE,PLoS,2016,11,4,1,Y,0,region,Istanbul,,41.02363,29.03138
10.1371/journal.pone.0154613,https://dx.doi.org/10.1371/journal.pone.0154613,The Relationship between Habitat Loss and Fragmentation during Urbanization: An Empirical Evaluation from 16 World Cities,PLoS ONE,PLoS,2016,11,4,1,Y,0,region,London,,51.51489,-0.12564
10.1371/journal.pone.0154613,https://dx.doi.org/10.1371/journal.pone.0154613,The Relationship between Habitat Loss and Fragmentation during Urbanization: An Empirical Evaluation from 16 World Cities,PLoS ONE,PLoS,2016,11,4,1,Y,0,region,Manila,,14.60347,120.97424
10.1371/journal.pone.0154613,https://dx.doi.org/10.1371/journal.pone.0154613,The Relationship between Habitat Loss and Fragmentation during Urbanization: An Empirical Evaluation from 16 World Cities,PLoS ONE,PLoS,2016,11,4,1,Y,0,region,Mexico City,,19.44378,-99.13126
10.1371/journal.pone.0154613,https://dx.doi.org/10.1371/journal.pone.0154613,The Relationship between Habitat Loss and Fragmentation during Urbanization: An Empirical Evaluation from 16 World Cities,PLoS ONE,PLoS,2016,11,4,1,Y,0,region,Moscow,,55.75733,37.64088
10.1371/journal.pone.0154613,https://dx.doi.org/10.1371/journal.pone.0154613,The Relationship between Habitat Loss and Fragmentation during Urbanization: An Empirical Evaluation from 16 World Cities,PLoS ONE,PLoS,2016,11,4,1,Y,0,region,Mumbai,,19.09063,72.87225
10.1371/journal.pone.0154613,https://dx.doi.org/10.1371/journal.pone.0154613,The Relationship between Habitat Loss and Fragmentation during Urbanization: An Empirical Evaluation from 16 World Cities,PLoS ONE,PLoS,2016,11,4,1,Y,0,region,Paris,,48.862,2.34772
10.1371/journal.pone.0154613,https://dx.doi.org/10.1371/journal.pone.0154613,The Relationship between Habitat Loss and Fragmentation during Urbanization: An Empirical Evaluation from 16 World Cities,PLoS ONE,PLoS,2016,11,4,1,Y,0,region,Warsaw,,52.23201,21.02136
10.1371/journal.pone.0154613,https://dx.doi.org/10.1371/journal.pone.0154613,The Relationship between Habitat Loss and Fragmentation during Urbanization: An Empirical Evaluation from 16 World Cities,PLoS ONE,PLoS,2016,11,4,1,Y,0,region,Santiago,,-33.45782,-70.65387
10.1371/journal.pone.0154613,https://dx.doi.org/10.1371/journal.pone.0154613,The Relationship between Habitat Loss and Fragmentation during Urbanization: An Empirical Evaluation from 16 World Cities,PLoS ONE,PLoS,2016,11,4,1,Y,0,region,Shanghai,,31.10771,121.42316
10.1371/journal.pone.0154613,https://dx.doi.org/10.1371/journal.pone.0154613,The Relationship between Habitat Loss and Fragmentation during Urbanization: An Empirical Evaluation from 16 World Cities,PLoS ONE,PLoS,2016,11,4,1,Y,0,region,Sydney,,-33.86161,151.22445
10.1371/journal.pone.0152883,https://dx.doi.org/10.1371/journal.pone.0152883,The Impact of Fine-Scale Disturbances on the Predictability of Vegetation Dynamics and Carbon Flux,PLoS ONE,PLoS,2016,11,4,1,Y,0,point,La Selva Biological Station,,10.43086,-84.00697
10.1371/journal.pone.0152335,https://dx.doi.org/10.1371/journal.pone.0152335,The Point Count Transect Method for Estimates of Biodiversity on Coral Reefs: Improving the Sampling of Rare Species,PLoS ONE,PLoS,2016,11,3,1,Y,1,point,"145.44° E, 14.683° S",,-14.683,145.44
10.1371/journal.pone.0150111,https://dx.doi.org/10.1371/journal.pone.0150111,A Holistic Landscape Description Reveals That Landscape Configuration Changes More over Time than Composition: Implications for Landscape Ecology Studies,PLoS ONE,PLoS,2016,11,3,1,Y,1,Bounding Box,48°06’– 49°7’ N; 2°23’– 3°32’ W,,49.11667,2.38333
10.1371/journal.pone.0145598,https://dx.doi.org/10.1371/journal.pone.0145598,Assessing the Importance of Intraspecific Variability in Dung Beetle Functional Traits,PLoS ONE,PLoS,2016,11,3,1,Y,1,point,"0°53S, 52°36W",,-0.88333,-52.6
10.1371/journal.pone.0147909,https://dx.doi.org/10.1371/journal.pone.0147909,Time-Lag in Responses of Birds to Atlantic Forest Fragmentation: Restoration Opportunity and Urgency,PLoS ONE,PLoS,2016,11,1,1,Y,1,point,"52°29’29”W, 22°24’09”S",,-22.4025,-52.49139
10.1371/journal.pone.0141387,https://dx.doi.org/10.1371/journal.pone.0141387,Nature and Age of Neighbours Matter: Interspecific Associations among Tree Species Exist and Vary across Life Stages in Tropical Forests,PLoS ONE,PLoS,2015,10,11,1,Y,1,point,"4°35?S, 79°42?W",,-4.58333,-79.7
10.1371/journal.pone.0142784,https://dx.doi.org/10.1371/journal.pone.0142784,Interactions between Canopy Structure and Herbaceous Biomass along Environmental Gradients in Moist Forest and Dry Miombo Woodland of Tanzania,PLoS ONE,PLoS,2015,10,11,1,Y,1,point,"Latitude: -4.44°, Longitude: 35.40°",,-4.44,35.4
10.1371/journal.pone.0141559,https://dx.doi.org/10.1371/journal.pone.0141559,Sampling and Complementarity Effects of Plant Diversity on Resource Use Increases the Invasion Resistance of Communities,PLoS ONE,PLoS,2015,10,11,1,Y,0,region,mountain area of Taizhou city in Zhejiang province of China,,28.84914,120.94068
10.1371/journal.pone.0141899,https://dx.doi.org/10.1371/journal.pone.0141899,"Functional Trait Changes, Productivity Shifts and Vegetation Stability in Mountain Grasslands during a Short-Term Warming",PLoS ONE,PLoS,2015,10,10,1,Y,1,point,"1·993°E, 42·276°N",,42.276,1.993
