doi,title,journal,publisher,year,vol,issue,xmlfile,pdffile
"
      10.1371/journal.pone.0000295
     ","
       Invasions and Extinctions Reshape Coastal Marine Food Webs
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2007
      ","
      2
     ","
      3
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0000295.xml,
"
      10.1371/journal.pone.0000908
     ","
       Changes in Tree Reproductive Traits Reduce Functional Diversity in a Fragmented Atlantic Forest Landscape
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2007
      ","
      2
     ","
      9
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0000908.xml,
"
      10.1371/journal.pone.0009677
     ","
       Plant Species and Functional Group Combinations Affect Green Roof Ecosystem Functions
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2010
      ","
      5
     ","
      3
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0009677.xml,
"
      10.1371/journal.pone.0013382
     ","
       Diversity Promotes Temporal Stability across Levels of Ecosystem Organization in Experimental Grasslands
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2010
      ","
      5
     ","
      10
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0013382.xml,
"
      10.1371/journal.pone.0013666
     ","
       Beyond the Fragmentation Threshold Hypothesis: Regime Shifts in Biodiversity Across Fragmented Landscapes
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2010
      ","
      5
     ","
      10
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0013666.xml,
"
      10.1371/journal.pone.0016584
     ","
       Environmental Conditions Influence the Plant Functional Diversity Effect on Potential Denitrification
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2011
      ","
      6
     ","
      2
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0016584.xml,
"
      10.1371/journal.pone.0017476
     ","
       Functional Structure of Biological Communities Predicts Ecosystem Multifunctionality
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2011
      ","
      6
     ","
      3
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0017476.xml,
"
      10.1371/journal.pone.0018982
     ","
       Positive Interspecific Relationship between Temporal Occurrence and Abundance in Insects
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2011
      ","
      6
     ","
      4
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0018982.xml,
"
      10.1371/journal.pone.0020078
     ","
       Hierarchical Plant Responses and Diversity Loss after Nitrogen Addition: Testing Three Functionally-Based Hypotheses in the Inner Mongolia Grassland
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2011
      ","
      6
     ","
      5
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0020078.xml,
"
      10.1371/journal.pone.0021265
     ","
       Predicting Species Diversity of Benthic Communities within Turbid Nearshore Using Full-Waveform Bathymetric LiDAR and Machine Learners
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2011
      ","
      6
     ","
      6
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0021265.xml,
"
      10.1371/journal.pone.0021972
     ","
       Effects of Total Resources, Resource Ratios, and Species Richness on Algal Productivity and Evenness at Both Metacommunity and Local Scales
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2011
      ","
      6
     ","
      7
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0021972.xml,
"
      10.1371/journal.pone.0022905
     ","
       Predator Diversity and Abundance Provide Little Support for the Enemies Hypothesis in Forests of High Tree Diversity
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2011
      ","
      6
     ","
      7
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0022905.xml,
"
      10.1371/journal.pone.0023312
     ","
       A Small Mammal Community in a Forest Fragment, Vegetation Corridor and Coffee Matrix System in the Brazilian Atlantic Forest
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2011
      ","
      6
     ","
      8
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0023312.xml,
"
      10.1371/journal.pone.0024107
     ","
       Assessing Natural Resource Use by Forest-Reliant Communities in Madagascar Using Functional Diversity and Functional Redundancy Metrics
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2011
      ","
      6
     ","
      9
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0024107.xml,
"
      10.1371/journal.pone.0026986
     ","
       Legacy Effects of Canopy Disturbance on Ecosystem Functioning in Macroalgal Assemblages
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2011
      ","
      6
     ","
      10
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0026986.xml,
"
      10.1371/journal.pone.0027785
     ","
       Forest Fragmentation and Selective Logging Have Inconsistent Effects on Multiple Animal-Mediated Ecosystem Processes in a Tropical Forest
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2011
      ","
      6
     ","
      11
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0027785.xml,
"
      10.1371/journal.pone.0029152
     ","
       Small-Scale Heterogeneity in Deep-Sea Nematode Communities around Biogenic Structures
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2011
      ","
      6
     ","
      12
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0029152.xml,
"
      10.1371/journal.pone.0029469
     ","
       Local-Scale Drivers of Tree Survival in a Temperate Forest
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2012
      ","
      7
     ","
      2
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0029469.xml,
"
      10.1371/journal.pone.0030463
     ","
       Informatics Technology Mimics Ecology: Dense, Mutualistic Collaboration Networks Are Associated with Higher Publication Rates
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2012
      ","
      7
     ","
      1
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0030463.xml,
"
      10.1371/journal.pone.0030506
     ","
       Predicting Tropical Dry Forest Successional Attributes from Space: Is the Key Hidden in Image Texture?
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2012
      ","
      7
     ","
      2
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0030506.xml,
"
      10.1371/journal.pone.0036196
     ","
       Effects of Trophic Skewing of Species Richness on Ecosystem Functioning in a Diverse Marine Community
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2012
      ","
      7
     ","
      5
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0036196.xml,
"
      10.1371/journal.pone.0037856
     ","
       Shorter Food Chain Length in Ancient Lakes: Evidence from a Global Synthesis
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2012
      ","
      7
     ","
      6
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0037856.xml,
"
      10.1371/journal.pone.0038970
     ","
       Uncovering Ecosystem Service Bundles through Social Preferences
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2012
      ","
      7
     ","
      6
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0038970.xml,
"
      10.1371/journal.pone.0040679
     ","
       Low Functional 
       
        β
       -Diversity Despite High Taxonomic 
       
        β
       -Diversity among Tropical Estuarine Fish Communities
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2012
      ","
      7
     ","
      7
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0040679.xml,
"
      10.1371/journal.pone.0041270
     ","
       Assemblage of a Semi-Arid Annual Plant Community: Abiotic and Biotic Filters Act Hierarchically
      ",,"
       Public Library of Science
      ","
       2012
      ","
      7
     ","
      7
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0041270.xml,
"
      10.1371/journal.pone.0042354
     ","
       Temporal-Spatial Variation and Controls of Soil Respiration in Different Primary Succession Stages on Glacier Forehead in Gongga Mountain, China
      ",,"
       Public Library of Science
      ","
       2012
      ","
      7
     ","
      8
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0042354.xml,
"
      10.1371/journal.pone.0042524
     ","
       Bacterial Community Dynamics in Full-Scale Activated Sludge Bioreactors: Operational and Ecological Factors Driving Community Assembly and Performance
      ",,"
       Public Library of Science
      ","
       2012
      ","
      7
     ","
      8
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0042524.xml,
"
      10.1371/journal.pone.0042833
     ","
       Hierarchical Reproductive Allocation and Allometry within a Perennial Bunchgrass after 11 Years of Nutrient Addition
      ",,"
       Public Library of Science
      ","
       2012
      ","
      7
     ","
      9
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0042833.xml,
"
      10.1371/journal.pone.0043626
     ","
       A Metacommunity Framework for Enhancing the Effectiveness of Biological Monitoring Strategies
      ",,"
       Public Library of Science
      ","
       2012
      ","
      7
     ","
      8
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0043626.xml,
"
      10.1371/journal.pone.0043943
     ","
       Land Cover Change in Colombia: Surprising Forest Recovery Trends between 2001 and 2010
      ",,"
       Public Library of Science
      ","
       2012
      ","
      7
     ","
      8
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0043943.xml,
"
      10.1371/journal.pone.0044925
     ","
       Community Biomass and Bottom up Multivariate Nutrient Complementarity Mediate the Effects of Bioturbator Diversity on Pelagic Production
      ",,"
       Public Library of Science
      ","
       2012
      ","
      7
     ","
      9
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0044925.xml,
"
      10.1371/journal.pone.0045334
     ","
       Understanding Long-Term Variations in an Elephant Piosphere Effect to Manage Impacts
      ",,"
       Public Library of Science
      ","
       2012
      ","
      7
     ","
      9
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0045334.xml,
"
      10.1371/journal.pone.0047192
     ","
       Can Joint Carbon and Biodiversity Management in Tropical Agroforestry Landscapes Be Optimized?
      ",,"
       Public Library of Science
      ","
       2012
      ","
      7
     ","
      10
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0047192.xml,
"
      10.1371/journal.pone.0049024
     ","
       The Relationship between Species Richness and Evenness in Plant Communities along a Successional Gradient: A Study from Sub-Alpine Meadows of the Eastern Qinghai-Tibetan Plateau, China
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2012
      ","
      7
     ","
      11
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0049024.xml,
"
      10.1371/journal.pone.0049618
     ","
       Kinetic Energy of Throughfall in Subtropical Forests of SE China – Effects of Tree Canopy Structure, Functional Traits, and Biodiversity
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2013
      ","
      8
     ","
      2
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0049618.xml,
"
      10.1371/journal.pone.0049795
     ","
       Organism-Sediment Interactions Govern Post-Hypoxia Recovery of Ecosystem Functioning
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2012
      ","
      7
     ","
      11
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0049795.xml,
"
      10.1371/journal.pone.0052071
     ","
       Nutrient Limitation on Ecosystem Productivity and Processes of Mature and Old-Growth Subtropical Forests in China
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2012
      ","
      7
     ","
      12
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0052071.xml,
"
      10.1371/journal.pone.0052821
     ","
       Testing the Link between Functional Diversity and Ecosystem Functioning in a Minnesota Grassland Experiment
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2012
      ","
      7
     ","
      12
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0052821.xml,
"
      10.1371/journal.pone.0053009
     ","
       Resilience in Plant-Herbivore Networks during Secondary Succession
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2012
      ","
      7
     ","
      12
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0053009.xml,
"
      10.1371/journal.pone.0053139
     ","
       The 50 Most Important Questions Relating to the Maintenance and Restoration of an Ecological Continuum in the European Alps
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2013
      ","
      8
     ","
      1
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0053139.xml,
"
      10.1371/journal.pone.0058432
     ","
       Effect of Degradation Intensity on Grassland Ecosystem Services in the Alpine Region of Qinghai-Tibetan Plateau, China
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2013
      ","
      8
     ","
      3
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0058432.xml,
"
      10.1371/journal.pone.0059356
     ","
       Forest Restoration and Parasitoid Wasp Communities in Montane Hawai’i
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2013
      ","
      8
     ","
      3
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0059356.xml,
"
      10.1371/journal.pone.0060756
     ","
       Impacts of Intensive Logging on the Trophic Organisation of Ant Communities in a Biodiversity Hotspot
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2013
      ","
      8
     ","
      4
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0060756.xml,
"
      10.1371/journal.pone.0066238
     ","
       Large-Scale Variation in Combined Impacts of Canopy Loss and Disturbance on Community Structure and Ecosystem Functioning
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2013
      ","
      8
     ","
      6
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0066238.xml,
"
      10.1371/journal.pone.0066650
     ","
       Complex Effects of Ecosystem Engineer Loss on Benthic Ecosystem Response to Detrital Macroalgae
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2013
      ","
      8
     ","
      6
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0066650.xml,
"
      10.1371/journal.pone.0066653
     ","
       Assessing the Response of Nematode Communities to Climate Change-Driven Warming: A Microcosm Experiment
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2013
      ","
      8
     ","
      6
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0066653.xml,
"
      10.1371/journal.pone.0070547
     ","
       Ecosystem Health Assessment in the Pearl River Estuary of China by Considering Ecosystem Coordination
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2013
      ","
      8
     ","
      7
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0070547.xml,
"
      10.1371/journal.pone.0071735
     ","
       Food-Web Structure in Relation to Environmental Gradients and Predator-Prey Ratios in Tank-Bromeliad Ecosystems
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2013
      ","
      8
     ","
      8
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0071735.xml,
"
      10.1371/journal.pone.0072201
     ","
       Variation in Carbon Storage and Its Distribution by Stand Age and Forest Type in Boreal and Temperate Forests in Northeastern China
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2013
      ","
      8
     ","
      8
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0072201.xml,
"
      10.1371/journal.pone.0074852
     ","
       Matrix Intensification Alters Avian Functional Group Composition in Adjacent Rainforest Fragments
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2013
      ","
      8
     ","
      9
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0074852.xml,
"
      10.1371/journal.pone.0075396
     ","
       Evaluating Ecosystem Services Provided by Non-Native Species: An Experimental Test in California Grasslands
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      9
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0075396.xml,
"
      10.1371/journal.pone.0075439
     ","
       Ecological Network Indicators of Ecosystem Status and Change in the Baltic Sea
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2013
      ","
      8
     ","
      10
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0075439.xml,
"
      10.1371/journal.pone.0079799
     ","
       Ecology of Caribbean Sponges: Are Top-Down or Bottom-Up Processes More Important?
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2013
      ","
      8
     ","
      11
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0079799.xml,
"
      10.1371/journal.pone.0081226
     ","
       Indigenous Burning as Conservation Practice: Neotropical Savanna Recovery amid Agribusiness Deforestation in Central Brazil
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2013
      ","
      8
     ","
      12
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0081226.xml,
"
      10.1371/journal.pone.0082369
     ","
       Forest Loss and the Biodiversity Threshold: An Evaluation Considering Species Habitat Requirements and the Use of Matrix Habitats
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2013
      ","
      8
     ","
      12
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0082369.xml,
"
      10.1371/journal.pone.0082468
     ","
       Soil Nematode Responses to Increases in Nitrogen Deposition and Precipitation in a Temperate Forest
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2013
      ","
      8
     ","
      12
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0082468.xml,
"
      10.1371/journal.pone.0082792
     ","
       Relationships between Plant Diversity and the Abundance and α-Diversity of Predatory Ground Beetles (Coleoptera: Carabidae) in a Mature Asian Temperate Forest Ecosystem
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2013
      ","
      8
     ","
      12
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0082792.xml,
"
      10.1371/journal.pone.0083407
     ","
       Long-Term Functional Dynamics of an Aphidophagous Coccinellid Community Remain Unchanged despite Repeated Invasions
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2013
      ","
      8
     ","
      12
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0083407.xml,
"
      10.1371/journal.pone.0084568
     ","
       Loss of Rare Fish Species from Tropical Floodplain Food Webs Affects Community Structure and Ecosystem Multifunctionality in a Mesocosm Experiment
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      1
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0084568.xml,
"
      10.1371/journal.pone.0085513
     ","
       Contributions of Understory and/or Overstory Vegetations to Soil Microbial PLFA and Nematode Diversities in Eucalyptus Monocultures
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      1
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0085513.xml,
