doi,title,journal,publisher,year,vol,issue,xmlfile,pdffile
"
      10.1371/journal.pone.0089084
     ","
       Identifying Priority Areas for Conservation and Management in Diverse Tropical Forests
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      2
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0089084.xml,
"
      10.1371/journal.pone.0090513
     ","
       Land Planarian Assemblages in Protected Areas of the Interior Atlantic Forest: Implications for Conservation
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      3
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0090513.xml,
"
      10.1371/journal.pone.0092517
     ","
       Ammonium as a Driving Force of Plant Diversity and Ecosystem Functioning: Observations Based on 5 Years' Manipulation of N Dose and Form in a Mediterranean Ecosystem
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      4
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0092517.xml,
"
      10.1371/journal.pone.0093733
     ","
       Facilitation Drives the Positive Effects of Plant Richness on Trace Metal Removal in a Biodiversity Experiment
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      4
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0093733.xml,
"
      10.1371/journal.pone.0095081
     ","
       The Efficacy of Landscape-Level Conservation in Changbai Mountain Biosphere Reserve, China
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      4
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0095081.xml,
"
      10.1371/journal.pone.0095890
     ","
       Which Models Are Appropriate for Six Subtropical Forests: Species-Area and Species-Abundance Models
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      4
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0095890.xml,
"
      10.1371/journal.pone.0095938
     ","
       Scaling Relationships between Leaf Mass and Total Plant Mass across Chinese Forests
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      4
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0095938.xml,
"
      10.1371/journal.pone.0097910
     ","
       Biodiversity Mapping in a Tropical West African Forest with Airborne Hyperspectral Data
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      6
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0097910.xml,
"
      10.1371/journal.pone.0098454
     ","
       Diversity and Communities of Foliar Endophytic Fungi from Different Agroecosystems of 
       
        Coffea arabica
        L. in Two Regions of Veracruz, Mexico
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      6
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0098454.xml,
"
      10.1371/journal.pone.0098931
     ","
       Conserving Tropical Tree Diversity and Forest Structure: The Value of Small Rainforest Patches in Moderately-Managed Landscapes
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      6
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0098931.xml,
"
      10.1371/journal.pone.0099385
     ","
       Effects of Fertilization and Clipping on Carbon, Nitrogen Storage, and Soil Microbial Activity in a Natural Grassland in Southern China
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      6
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0099385.xml,
"
      10.1371/journal.pone.0100646
     ","
       How Can We Identify and Communicate the Ecological Value of Deep-Sea Ecosystem Services?
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      7
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0100646.xml,
"
      10.1371/journal.pone.0101928
     ","
       Different Assembly Processes Drive Shifts in Species and Functional Composition in Experimental Grasslands Varying in Sown Diversity and Community History
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      7
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0101928.xml,
"
      10.1371/journal.pone.0102090
     ","
       Vulnerability of Mediterranean Ecosystems to Long-Term Changes along the Coast of Israel
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      7
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0102090.xml,
"
      10.1371/journal.pone.0102437
     ","
       Combining Aesthetic with Ecological Values for Landscape Sustainability
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      7
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0102437.xml,
"
      10.1371/journal.pone.0104060
     ","
       A New Measure of Functional Evenness and Some of Its Properties
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      8
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0104060.xml,
"
      10.1371/journal.pone.0105869
     ","
       Deforestation and Benthic Indicators: How Much Vegetation Cover Is Needed to Sustain Healthy Andean Streams?
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      8
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0105869.xml,
"
      10.1371/journal.pone.0106529
     ","
       Plant Diversity Impacts Decomposition and Herbivory via Changes in Aboveground Arthropods
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      9
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0106529.xml,
"
      10.1371/journal.pone.0107126
     ","
       Accounting for Biomass Carbon Stock Change Due to Wildfire in Temperate Forest Landscapes in Australia
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      9
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0107126.xml,
"
      10.1371/journal.pone.0107775
     ","
       Inorganic Nitrogen Supply and Dissolved Organic Nitrogen Abundance across the US Great Plains
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      9
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0107775.xml,
"
      10.1371/journal.pone.0107792
     ","
       The Reduced Effectiveness of Protected Areas under Climate Change Threatens Atlantic Forest Tiger Moths
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      9
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0107792.xml,
"
      10.1371/journal.pone.0111434
     ","
       Interspecific Neighbor Interactions Promote the Positive Diversity-Productivity Relationship in Experimental Grassland Communities
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      10
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0111434.xml,
"
      10.1371/journal.pone.0111742
     ","
       Patch Size and Isolation Predict Plant Species Density in a Naturally Fragmented Forest
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      10
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0111742.xml,
"
      10.1371/journal.pone.0111883
     ","
       Local and Regional Effects on Community Structure of Dung Beetles in a Mainland-Island Scenario
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      10
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0111883.xml,
"
      10.1371/journal.pone.0112436
     ","
       The Soil Biota Composition along a Progressive Succession of Secondary Vegetation in a Karst Area
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      11
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0112436.xml,
"
      10.1371/journal.pone.0113964
     ","
       Curvilinear Effects of Invasive Plants on Plant Diversity: Plant Community Invaded by 
       
        Sphagneticola trilobata
       
","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      11
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0113964.xml,
"
      10.1371/journal.pone.0114015
     ","
       The Importance of Microhabitat for Biodiversity Sampling
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      12
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0114015.xml,
"
      10.1371/journal.pone.0115038
     ","
       Woody Species Diversity in Forest Plantations in a Mountainous Region of Beijing, China: Effects of Sampling Scale and Species Selection
      ","
       PLoS ONE
      ","
       Public Library of Science
      ","
       2014
      ","
      9
     ","
      12
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0115038.xml,
"
      10.1371/journal.pone.0118403
     ","
       Operational Tree Species Mapping in a Diverse Tropical Forest with Airborne Imaging Spectroscopy
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2015
      ","
      10
     ","
      7
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0118403.xml,
"
      10.1371/journal.pone.0118580
     ","
       Natural Shorelines Promote the Stability of Fish Communities in an Urbanized Coastal System
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2015
      ","
      10
     ","
      6
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0118580.xml,
"
      10.1371/journal.pone.0118837
     ","
       Inferring Resilience to Fragmentation-Induced Changes in Plant Communities in a Semi-Arid Mediterranean Ecosystem
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2015
      ","
      10
     ","
      3
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0118837.xml,
"
      10.1371/journal.pone.0119922
     ","
       Quantifying Patterns of Change in Marine Ecosystem Response to Multiple Pressures
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2015
      ","
      10
     ","
      3
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0119922.xml,
"
      10.1371/journal.pone.0121444
     ","
       Environmental Gap Analysis to Prioritize Conservation Efforts in Eastern Africa
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2015
      ","
      10
     ","
      4
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0121444.xml,
"
      10.1371/journal.pone.0123030
     ","
       Scale-Dependence of Processes Structuring Dung Beetle Metacommunities Using Functional Diversity and Community Deconstruction Approaches
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2015
      ","
      10
     ","
      3
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0123030.xml,
"
      10.1371/journal.pone.0123160
     ","
       Responses of Plant Community Composition and Biomass Production to Warming and Nitrogen Deposition in a Temperate Meadow Ecosystem
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2015
      ","
      10
     ","
      4
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0123160.xml,
"
      10.1371/journal.pone.0125300
     ","
       Impact of Precipitation Patterns on Biomass and Species Richness of Annuals in a Dry Steppe
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2015
      ","
      10
     ","
      4
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0125300.xml,
"
      10.1371/journal.pone.0127093
     ","
       Biomass Increases Go under Cover: Woody Vegetation Dynamics in South African Rangelands
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2015
      ","
      10
     ","
      5
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0127093.xml,
"
      10.1371/journal.pone.0128923
     ","
       Birds in Anthropogenic Landscapes: The Responses of Ecological Groups to Forest Loss in the Brazilian Atlantic Forest
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2015
      ","
      10
     ","
      6
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0128923.xml,
"
      10.1371/journal.pone.0133276
     ","
       Zoogeography of South American Forest-Dwelling Bats: Disjunct Distributions or Sampling Deficiencies?
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2015
      ","
      10
     ","
      7
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0133276.xml,
"
      10.1371/journal.pone.0134560
     ","
       Niche and Neutral Processes Together Determine Diversity Loss in Response to Fertilization in an Alpine Meadow Community
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2015
      ","
      10
     ","
      8
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0134560.xml,
"
      10.1371/journal.pone.0134665
     ","
       Modelling Hotspots for Invasive Alien Plants in India
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2015
      ","
      10
     ","
      7
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0134665.xml,
"
      10.1371/journal.pone.0135917
     ","
       Relationships between Spatial Metrics and Plant Diversity in Constructed Freshwater Wetlands
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2015
      ","
      10
     ","
      8
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0135917.xml,
"
      10.1371/journal.pone.0136040
     ","
       Plant Functional Diversity Can Be Independent of Species Diversity: Observations Based on the Impact of 4-Yrs of Nitrogen and Phosphorus Additions in an Alpine Meadow
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2015
      ","
      10
     ","
      8
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0136040.xml,
"
      10.1371/journal.pone.0137569
     ","
       The Oldest, Slowest Rainforests in the World? Massive Biomass and Slow Carbon Dynamics of 
       
        Fitzroya cupressoides
        Temperate Forests in Southern Chile
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2015
      ","
      10
     ","
      9
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0137569.xml,
"
      10.1371/journal.pone.0138696
     ","
       Understanding the Spatio-Temporal Response of Coral Reef Fish Communities to Natural Disturbances: Insights from Beta-Diversity Decomposition
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2015
      ","
      10
     ","
      9
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0138696.xml,
"
      10.1371/journal.pone.0139031
     ","
       Effects of Previous Land-Use on Plant Species Composition and Diversity in Mediterranean Forests
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2015
      ","
      10
     ","
      9
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0139031.xml,
"
      10.1371/journal.pone.0140423
     ","
       Ecosystem Services and Biodiversity in a Rapidly Transforming Landscape in Northern Borneo
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2015
      ","
      10
     ","
      10
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0140423.xml,
"
      10.1371/journal.pone.0141387
     ","
       Nature and Age of Neighbours Matter: Interspecific Associations among Tree Species Exist and Vary across Life Stages in Tropical Forests
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2015
      ","
      10
     ","
      11
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0141387.xml,
"
      10.1371/journal.pone.0141559
     ","
       Sampling and Complementarity Effects of Plant Diversity on Resource Use Increases the Invasion Resistance of Communities
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2015
      ","
      10
     ","
      11
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0141559.xml,
"
      10.1371/journal.pone.0141899
     ","
       Functional Trait Changes, Productivity Shifts and Vegetation Stability in Mountain Grasslands during a Short-Term Warming
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2015
      ","
      10
     ","
      10
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0141899.xml,
"
      10.1371/journal.pone.0142784
     ","
       Interactions between Canopy Structure and Herbaceous Biomass along Environmental Gradients in Moist Forest and Dry Miombo Woodland of Tanzania
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2015
      ","
      10
     ","
      11
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0142784.xml,
"
      10.1371/journal.pone.0145598
     ","
       Assessing the Importance of Intraspecific Variability in Dung Beetle Functional Traits
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2016
      ","
      11
     ","
      3
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0145598.xml,
"
      10.1371/journal.pone.0146228
     ","
       Response of a Wild Edible Plant to Human Disturbance: Harvesting Can Enhance the Subsequent Yield of Bamboo Shoots
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2015
      ","
      10
     ","
      12
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0146228.xml,
"
      10.1371/journal.pone.0147058
     ","
       Human-Induced Landscape Changes Homogenize Atlantic Forest Bird Assemblages through Nested Species Loss
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2016
      ","
      11
     ","
      2
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0147058.xml,
"
      10.1371/journal.pone.0147909
     ","
       Time-Lag in Responses of Birds to Atlantic Forest Fragmentation: Restoration Opportunity and Urgency
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2016
      ","
      11
     ","
      1
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0147909.xml,
"
      10.1371/journal.pone.0150111
     ","
       A Holistic Landscape Description Reveals That Landscape Configuration Changes More over Time than Composition: Implications for Landscape Ecology Studies
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2016
      ","
      11
     ","
      3
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0150111.xml,
"
      10.1371/journal.pone.0150520
     ","
       Past Human Disturbance Effects upon Biodiversity are Greatest in the Canopy; A Case Study on Rainforest Butterflies
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2016
      ","
      11
     ","
      3
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0150520.xml,
"
      10.1371/journal.pone.0152335
     ","
       The Point Count Transect Method for Estimates of Biodiversity on Coral Reefs: Improving the Sampling of Rare Species
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2016
      ","
      11
     ","
      3
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0152335.xml,
"
      10.1371/journal.pone.0152883
     ","
       The Impact of Fine-Scale Disturbances on the Predictability of Vegetation Dynamics and Carbon Flux
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2016
      ","
      11
     ","
      4
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0152883.xml,
"
      10.1371/journal.pone.0154026
     ","
       Relationship of Productivity to Species Richness in the Xinjiang Temperate Grassland
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2016
      ","
      11
     ","
      4
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0154026.xml,
"
      10.1371/journal.pone.0154613
     ","
       The Relationship between Habitat Loss and Fragmentation during Urbanization: An Empirical Evaluation from 16 World Cities
      ","
       PLOS ONE
      ","
       Public Library of Science
      ","
       2016
      ","
      11
     ","
      4
     ",C:/Users/jakal/Documents/GitHub/JournalMap/Placenames/XML/PLOSOne\journal.pone.0154613.xml,
